,id,algorithm,lower_bounds,upper_bounds,dfd_pdr,dfd_algorithm,mean_localisation_errors_pdr,mean_localisation_errors_algorithm,third_quantile_localisation_errors_pdr,third_quantile_localisation_errors_algorithm
0,13,AOE,40,140,0.03326718505462879,0.03515544203282145,1.4005738445885925,1.201660538657277,1.8233862593207295,1.5454039682086018
1,10,AOE,40,140,0.38662010950624237,0.15266628247979158,12.95354045379269,6.165525434934507,20.913304519741033,8.737860410884998
2,17,AOE,40,140,0.05355347004177055,0.09599291414911464,2.4454904624953757,3.5616770505901294,3.2538225191566075,6.207337879479933
3,14,AOE,40,140,0.2249477853867765,0.13793012391354156,8.950153390831712,7.34504403453763,12.2049534768212,12.32227369648744
4,19,AOE,40,140,0.0596348610882763,0.09027780986993195,3.856370197033094,3.865668213310416,4.886944683492949,4.886944683492949
5,4,AOE,40,140,0.1352224224449558,0.1659917102273926,6.240562257949761,6.756575535298665,8.742612809924573,8.860145577831839
6,2,AOE,40,140,0.7383483645600684,0.14254916571418244,19.51287082720274,7.0774361501885235,33.78759191823704,9.283521070952967
7,5,AOE,40,140,0.19541346789072717,0.07214871652485813,7.070493755894075,2.9453687822110637,12.788689590681088,4.689410272673663
8,3,AOE,40,140,0.13268935311318694,0.05649577402555883,4.015369378202639,3.0338597528476825,5.860782865182081,3.835161522530993
9,1,AOE,40,140,0.27446629165365777,0.10029389837618854,10.317168875412948,3.5263475070778956,17.72707672518522,5.678422750507656
10,7,AOE,40,140,0.20421457929777032,0.10269426298307088,8.013474509836767,4.2344870792753975,13.213142214796884,5.253269196537148
11,18,AOE,40,140,0.133368599659097,0.10656227371804182,4.003299687334457,4.833657982671594,6.160328796080773,9.239813958746794
12,6,AOE,40,140,0.11731535910593234,0.13931297274601578,5.7572002248098935,6.2613648855897175,7.4605629384124965,8.01566232180053
13,16,AOE,40,140,0.07024152327204156,0.07788864554774753,2.9490392320159575,2.7543134138978114,4.1025195074791085,3.5645753938715634
14,15,AOE,40,140,0.12629952699363642,0.10474273565033661,4.553098999485275,3.570716037017892,6.091459883724185,4.478736266091689
15,8,AOE,40,140,0.379986014831172,0.17551540614424646,9.267051237626399,7.254181186934007,13.39165480305109,9.166700712362271
16,13,AOE,30,110,0.03326718505462879,0.04588713588270443,1.4005738445885925,2.2975672274012333,1.8233862593207295,4.0215277646402345
17,10,AOE,30,110,0.38662010950624237,0.15005925887747876,12.95354045379269,6.504603506263181,20.913304519741033,8.608155791708715
18,17,AOE,30,110,0.05355347004177055,0.1077691601772417,2.4454904624953757,4.36002250121689,3.2538225191566075,7.671717896705787
19,14,AOE,30,110,0.2249477853867765,0.15298009059214956,8.950153390831712,7.51020635544783,12.2049534768212,12.50133308155866
20,19,AOE,30,110,0.0596348610882763,0.08781019805914123,3.856370197033094,3.863139494043326,4.886944683492949,4.886944683492949
21,4,AOE,30,110,0.1352224224449558,0.16280184805368608,6.240562257949761,6.6531543445724015,8.742612809924573,8.544933215457135
22,2,AOE,30,110,0.7383483645600684,0.16642268546139105,19.51287082720274,7.877495260165179,33.78759191823704,9.938100670680216
23,5,AOE,30,110,0.19541346789072717,0.07214871652498787,7.070493755894075,3.2761941791430256,12.788689590681088,5.29201734874034
24,3,AOE,30,110,0.13268935311318694,0.06872437117439742,4.015369378202639,3.1387088002191033,5.860782865182081,4.24065127276571
25,1,AOE,30,110,0.27446629165365777,0.10029389837618854,10.317168875412948,3.7677923097740793,17.72707672518522,6.620411219831372
26,7,AOE,30,110,0.20421457929777032,0.09969013054628517,8.013474509836767,4.177706044690707,13.213142214796884,5.407459262544704
27,18,AOE,30,110,0.133368599659097,0.13989253322733744,4.003299687334457,8.601168816516415,6.160328796080773,11.936492452008311
28,6,AOE,30,110,0.11731535910593234,0.15370320083657105,5.7572002248098935,6.627134213453482,7.4605629384124965,9.124880456534864
29,16,AOE,30,110,0.07024152327204156,0.11034937685608553,2.9490392320159575,3.5100219738162015,4.1025195074791085,4.795665384172018
30,15,AOE,30,110,0.12629952699363642,0.09353440731744023,4.553098999485275,3.3279701174835705,6.091459883724185,4.536775869485405
31,8,AOE,30,110,0.379986014831172,0.21314033329759305,9.267051237626399,7.584772683130454,13.39165480305109,9.207048307554578
32,13,AOE,80,150,0.03326718505462879,0.02807018246531297,1.4005738445885925,1.3900663434361749,1.8233862593207295,1.8233862593207295
33,10,AOE,80,150,0.38662010950624237,0.22216184889970866,12.95354045379269,10.882427338702549,20.913304519741033,13.808386327011213
34,17,AOE,80,150,0.05355347004177055,0.06811563155709566,2.4454904624953757,2.455886232515895,3.2538225191566075,3.2538225191566075
